Test_Number,Testing_Type,A/S,Test(META???),Location_Type,Test_Location,??,EMA#1,EMA#2,EMAW,EMAS,EMAP,WABL,WABLM,RAWL,RAWLM,KEN,RANGE,Value
3040,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X80M8F4,ABGTWV_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3041,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,8192X20M8F8,ABGRWVL_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3042,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X4M16F2,ABV_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3043,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,32768X40M16F8,ABGRWVL_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3044,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,1024X4M8F2,ABGV_HS_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3045,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,16384X4M8F8,ABGV_HS_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3046,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X80M8F4,ABGTWV_HS_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3047,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X4M16F2,ABV_HS_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3048,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,4096X40M16F4,ABGWV_HS_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3049,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,32768X40M16F8,ABGRV_HS_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3050,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,4096X42M8F4,ABGWVL_HS_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3051,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_HS_timing,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3052,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,1024X4M8F2,ABGV_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3053,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X80M8F4,ABGTWV_LP_m22n,A4,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
