Test,Testing_Item,Test_(Repeat),Range,Value
tb_leakage_low,LRENB_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.005_uA
tb_leakage_low,LV_3RD_PARTY_TM_OR_B,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,OSC_EN,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,OUTPUT_SEL_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,OUTPUT_SEL_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,OUTPUT_SEL_2,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,PGEN,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,PLL_FREF,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,PLL_PD,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,PLL_REFDIV_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,PLL_REFDIV_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,PLL_REFDIV_2,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,PLL_REFDIV_3,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,PLL_REFDIV_4,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,PLL_REFDIV_5,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,POSTDIV1_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,POSTDIV1_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,POSTDIV1_2,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,RAWL,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,RAWLM_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,RAWLM_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,RDTA,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,RET1N,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,RET2N,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,SC_RESETN,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.005_uA
tb_leakage_low,SEL_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,SEL_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,SEL_2,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,SEL_3,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,SEL_4,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_low,SEL_5,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,SEL_6,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,SEL_7,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,SEL_8,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_low,SEL_9,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,SEL_10,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,SEL_11,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,SEL_12,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,SEL_13,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_low,SE_MEM,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,SI_MEM_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_low,SI_MEM_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_low,STOV,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,STOVAB,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.005_uA
tb_leakage_low,SUHD_ADWC_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,SUHD_ADWC_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,SUHD_ADWC_2,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,SUHD_BIT,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,SUHD_DATA,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.005_uA
tb_leakage_low,SUHD_ENABLE,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,SUHD_MODE,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,SUHD_SKEW_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,SUHD_SKEW_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,SUHD_SKEW_2,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,SUHD_SKEW_3,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,SUHD_SKEW_4,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,SUHD_SKEW_5,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,SUHD_SKEW_6,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,TCK,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,TDI,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,TMS,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,TRSTN,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,WABL,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,WABLM_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,WABLM_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,WENA_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,WENA_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,WENB_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,WENB_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.005_uA
